object,split,label,image,height,width,aspect_ratio,mean_r,mean_g,mean_b,brightness_mean,brightness_std,contrast
candle,train,normal,candle/Data/Images/Normal/0935.JPG,1168,1284,1.0993150684931507,121.67838558336534,94.34456682349678,64.88147124247855,99.20795792792217,86.79414491811387,86.79414491811387
candle,test,normal,candle/Data/Images/Normal/0557.JPG,1168,1284,1.0993150684931507,118.38895801327187,92.30455514125379,63.820578884479154,96.90001480284215,86.60200440168265,86.60200440168265
candle,test,normal,candle/Data/Images/Normal/0518.JPG,1168,1284,1.0993150684931507,119.4478766589852,92.75870233751547,63.86479337366108,97.48502579161865,87.60568384683259,87.60568384683259
candle,test,normal,candle/Data/Images/Normal/0783.JPG,1168,1284,1.0993150684931507,121.76478550548372,91.82231721823923,60.939491715742754,97.27496412644561,85.34287379673103,85.34287379673103
candle,train,normal,candle/Data/Images/Normal/0588.JPG,1168,1284,1.0993150684931507,120.50527501280246,92.14388829321896,62.841396881534585,97.29064447040498,87.27293028406953,87.27293028406953
candle,test,normal,candle/Data/Images/Normal/0890.JPG,1168,1284,1.0993150684931507,124.29418448342082,94.96600280587207,59.48049958925447,99.69922158387743,86.40429201397605,86.40429201397605
candle,test,normal,candle/Data/Images/Normal/0389.JPG,1168,1284,1.0993150684931507,117.69494142875432,92.52616302330047,65.61059590107968,96.92856295075322,87.53692292550919,87.53692292550919
candle,train,normal,candle/Data/Images/Normal/0513.JPG,1168,1284,1.0993150684931507,119.82690876648317,92.97128115264798,63.979461389920196,97.73738757841505,87.48534823061782,87.48534823061782
candle,test,normal,candle/Data/Images/Normal/0232.JPG,1168,1284,1.0993150684931507,114.36002045726113,89.94714385161951,63.64127445802927,94.17637386378185,86.35434218846883,86.35434218846883
candle,train,normal,candle/Data/Images/Normal/0871.JPG,1168,1284,1.0993150684931507,122.86955228737251,93.57002011052789,61.69104934814151,98.71350365936927,85.94442653021527,85.94442653021527
candle,test,normal,candle/Data/Images/Normal/0339.JPG,1168,1284,1.0993150684931507,119.75867899970127,91.53116931784236,61.35739528656168,96.56083034609311,86.85354395970846,86.85354395970846
candle,train,normal,candle/Data/Images/Normal/0704.JPG,1168,1284,1.0993150684931507,121.04660361456067,88.70580818183758,54.262050313660225,94.46882268062134,85.0248930811277,85.0248930811277
candle,test,normal,candle/Data/Images/Normal/0618.JPG,1168,1284,1.0993150684931507,122.93434072675286,93.38687361306704,59.26826217300388,98.34192364934067,86.9356242599242,86.9356242599242
candle,test,normal,candle/Data/Images/Normal/0002.JPG,1168,1284,1.0993150684931507,123.17493092006998,93.48749226518159,57.5807535046729,98.28407587590151,87.0307847126249,87.0307847126249
candle,test,normal,candle/Data/Images/Normal/0990.JPG,1168,1284,1.0993150684931507,125.36501074873043,97.14878990099433,64.51900964985278,101.88953212350104,86.7410152882786,86.7410152882786
candle,test,normal,candle/Data/Images/Normal/0761.JPG,1168,1284,1.0993150684931507,120.23624402551957,90.98871983420817,60.2915273065762,96.24243388063842,85.43462511298989,85.43462511298989
candle,train,normal,candle/Data/Images/Normal/0006.JPG,1168,1284,1.0993150684931507,123.42540034353263,93.51772540327742,57.09897033563777,98.32649602056928,86.64965275549753,86.64965275549753
candle,test,normal,candle/Data/Images/Normal/0520.JPG,1168,1284,1.0993150684931507,124.31244598963,96.60041194576026,63.79563209469551,101.18110810608971,87.4176900432884,87.4176900432884
candle,test,normal,candle/Data/Images/Normal/0351.JPG,1168,1284,1.0993150684931507,120.16131097170657,93.43180423974736,64.29552007318739,98.1444257297401,87.93508717886802,87.93508717886802
candle,train,normal,candle/Data/Images/Normal/0209.JPG,1168,1284,1.0993150684931507,114.75420680770708,90.80388767976785,65.59225037873938,95.06274738083046,87.5713959391863,87.5713959391863
candle,train,normal,candle/Data/Images/Normal/0369.JPG,1168,1284,1.0993150684931507,121.32133302927495,93.9533617121154,63.234094279434984,98.67417344130072,87.71218561209838,87.71218561209838
candle,train,normal,candle/Data/Images/Normal/0543.JPG,1168,1284,1.0993150684931507,120.85892091281526,91.29643491550378,57.68723928327572,96.31833912111125,86.22238089419062,86.22238089419062
candle,train,normal,candle/Data/Images/Normal/0840.JPG,1168,1284,1.0993150684931507,124.45587352771732,95.2869710984509,61.3401006326548,100.16104625421414,86.34471114649975,86.34471114649975
candle,train,normal,candle/Data/Images/Normal/0249.JPG,1168,1284,1.0993150684931507,115.75030339158452,90.77259100413946,63.63559470084923,95.09985117142492,86.58727679499485,86.58727679499485
candle,train,normal,candle/Data/Images/Normal/0267.JPG,1168,1284,1.0993150684931507,118.9717052340716,91.59351528826868,61.94489208594717,96.43725928711646,87.05218275764136,87.05218275764136
candle,train,normal,candle/Data/Images/Normal/0884.JPG,1168,1284,1.0993150684931507,123.2611074659668,94.20315233858234,62.594608831562326,99.30864659347928,86.2131913343964,86.2131913343964
candle,train,normal,candle/Data/Images/Normal/0295.JPG,1168,1284,1.0993150684931507,121.56136378184611,90.74420755451713,55.83713539666282,95.99203380382367,85.92803768500728,85.92803768500728
candle,test,normal,candle/Data/Images/Normal/0388.JPG,1168,1284,1.0993150684931507,118.95553746319294,93.11942092881833,64.93867622583537,97.67870497802245,87.57061564420744,87.57061564420744
candle,test,normal,candle/Data/Images/Normal/0035.JPG,1168,1284,1.0993150684931507,119.75468823347416,93.2191847501387,64.78595423654674,97.96683496564674,87.18648131984952,87.18648131984952
candle,test,normal,candle/Data/Images/Normal/0995.JPG,1168,1284,1.0993150684931507,124.65948128707379,97.40964398497844,66.13240008748346,102.0251481617804,87.29454582352582,87.29454582352582
candle,train,normal,candle/Data/Images/Normal/0733.JPG,1168,1284,1.0993150684931507,117.1915681144113,88.97403901549097,60.25064545726113,94.19685979708105,84.57692681962381,84.57692681962381
candle,train,normal,candle/Data/Images/Normal/0059.JPG,1168,1284,1.0993150684931507,118.11500008001536,92.16738480454914,64.09810616971792,96.754882937524,87.56531789848103,87.56531789848103
candle,test,normal,candle/Data/Images/Normal/0910.JPG,1168,1284,1.0993150684931507,122.7759863227073,95.19037655229805,64.6005599741817,99.98923926727265,87.20376536744745,87.20376536744745
candle,train,normal,candle/Data/Images/Normal/0156.JPG,1168,1284,1.0993150684931507,122.53703444394657,94.94047257073358,63.00308992659924,99.57880179661161,87.57102663323789,87.57102663323789
candle,train,normal,candle/Data/Images/Normal/0853.JPG,1168,1284,1.0993150684931507,122.76442276917169,94.19394590428028,61.92677127341783,99.07981732492638,86.24510353396776,86.24510353396776
candle,train,normal,candle/Data/Images/Normal/0726.JPG,1168,1284,1.0993150684931507,119.4992298521316,89.72910865552853,59.358358804890536,95.17000930845388,84.52274145103404,84.52274145103404
candle,test,normal,candle/Data/Images/Normal/0966.JPG,1168,1284,1.0993150684931507,121.42448616801093,94.56818909230573,65.68261172811846,99.35546958349336,86.70106552973127,86.70106552973127
candle,train,normal,candle/Data/Images/Normal/0555.JPG,1168,1284,1.0993150684931507,119.36945760252635,92.48449368945504,63.82702678914352,97.29844996906073,85.78904439377848,85.78904439377848
candle,test,normal,candle/Data/Images/Normal/0491.JPG,1168,1284,1.0993150684931507,120.82054421115521,93.73859047603807,64.7351971578543,98.58047345090257,87.01080377873852,87.01080377873852
candle,train,normal,candle/Data/Images/Normal/0879.JPG,1168,1284,1.0993150684931507,123.36791663999487,94.01761871612683,61.31576129283489,99.08799356143047,85.87142794024477,85.87142794024477
candle,train,normal,candle/Data/Images/Normal/0825.JPG,1168,1284,1.0993150684931507,123.32635666047881,94.74048950731874,63.37105190863313,99.74004142128622,86.3162962428756,86.3162962428756
candle,train,normal,candle/Data/Images/Normal/0983.JPG,1168,1284,1.0993150684931507,125.71094983570178,97.27084466884308,63.93832482503307,101.99025146161397,86.79836317489374,86.79836317489374
candle,train,normal,candle/Data/Images/Normal/0973.JPG,1168,1284,1.0993150684931507,123.06139712158068,94.87029576345326,63.32501106879187,99.73402759996586,86.88201259110484,86.88201259110484
candle,test,normal,candle/Data/Images/Normal/0785.JPG,1168,1284,1.0993150684931507,121.16721277151879,92.21093649980796,61.141012407715614,97.33752747194129,86.46028938779345,86.46028938779345
candle,train,normal,candle/Data/Images/Normal/0451.JPG,1168,1284,1.0993150684931507,119.60135479345368,93.52210224363078,65.5334977649042,98.14012890474972,86.95913622388257,86.95913622388257
candle,train,normal,candle/Data/Images/Normal/0069.JPG,1168,1284,1.0993150684931507,118.36663239341954,92.17709800281654,64.00257916186574,96.84783945184142,87.22523452144699,87.22523452144699
candle,test,normal,candle/Data/Images/Normal/0123.JPG,1168,1284,1.0993150684931507,120.42495692506294,93.52291106559126,64.45470463662356,98.29024572717962,87.2596156407568,87.2596156407568
candle,test,normal,candle/Data/Images/Normal/0792.JPG,1168,1284,1.0993150684931507,122.09922438441514,92.38021300089618,60.56107372615542,97.65881315879315,85.66352548523439,85.66352548523439
candle,train,normal,candle/Data/Images/Normal/0602.JPG,1168,1284,1.0993150684931507,122.93569231959202,91.78764056032091,55.94385788738104,97.03847538727436,85.9738873401797,85.9738873401797
candle,test,normal,candle/Data/Images/Normal/0524.JPG,1168,1284,1.0993150684931507,124.85092271049375,97.10920163338028,62.94705916869372,101.52719055391968,87.53475202864156,87.53475202864156
candle,train,normal,candle/Data/Images/Normal/0989.JPG,1168,1284,1.0993150684931507,125.20807328340375,97.09606311078393,64.59096613216404,101.82906384692528,87.01717903043838,87.01717903043838
candle,test,normal,candle/Data/Images/Normal/0533.JPG,1168,1284,1.0993150684931507,125.77230361562754,96.46412044445867,59.555873394358386,101.03492803951693,87.18726105926578,87.18726105926578
candle,train,normal,candle/Data/Images/Normal/0875.JPG,1168,1284,1.0993150684931507,124.471263815986,94.94404125592114,59.83526370396449,99.78724448427431,85.89543998504162,85.89543998504162
candle,train,normal,candle/Data/Images/Normal/0930.JPG,1168,1284,1.0993150684931507,120.77168683053813,94.95719044723253,67.04674964259804,99.49865307472368,87.56940494135901,87.56940494135901
candle,train,normal,candle/Data/Images/Normal/0767.JPG,1168,1284,1.0993150684931507,122.26038532731617,91.94711784662655,58.459359530363166,97.19900020803995,85.79124307429332,85.79124307429332
candle,train,normal,candle/Data/Images/Normal/0049.JPG,1168,1284,1.0993150684931507,119.31921395574616,91.91259255110315,62.3305094578159,96.7669959298852,87.33605100988889,87.33605100988889
candle,test,normal,candle/Data/Images/Normal/0804.JPG,1168,1284,1.0993150684931507,121.67313324158238,92.74292797550463,61.541958722741434,97.86387186339778,86.16748047232792,86.16748047232792
candle,train,normal,candle/Data/Images/Normal/0337.JPG,1168,1284,1.0993150684931507,117.03159473285538,89.20959090812103,60.850046542269446,94.3380969146076,85.62106226441789,85.62106226441789
candle,train,normal,candle/Data/Images/Normal/0109.JPG,1168,1284,1.0993150684931507,119.66125029338967,93.29920011308838,64.90153309435412,97.98886119468271,87.78594755514365,87.78594755514365
candle,test,normal,candle/Data/Images/Normal/0365.JPG,1168,1284,1.0993150684931507,121.57371682029617,94.2735025124824,63.3052246031238,98.9388409241241,87.86055711541796,87.86055711541796
candle,train,normal,candle/Data/Images/Normal/0876.JPG,1168,1284,1.0993150684931507,124.92995188409508,94.80996284619981,59.18992713267614,99.76546230209533,85.56889856105488,85.56889856105488
candle,train,normal,candle/Data/Images/Normal/0438.JPG,1168,1284,1.0993150684931507,121.87966822963342,94.25759212435455,63.93216430888064,99.11095263623949,87.23164822709887,87.23164822709887
candle,train,normal,candle/Data/Images/Normal/0859.JPG,1168,1284,1.0993150684931507,123.53452396193403,94.287832597192,62.27609901101011,99.40437230614944,86.00787063033746,86.00787063033746
candle,train,normal,candle/Data/Images/Normal/0635.JPG,1168,1284,1.0993150684931507,123.42411209618913,92.47472848120172,56.430937406648745,97.64420368710792,86.0522342463972,86.0522342463972
candle,test,normal,candle/Data/Images/Normal/0046.JPG,1168,1284,1.0993150684931507,120.68277109204968,93.18952438868263,63.255449046216874,98.0439577732258,87.39589272668985,87.39589272668985
candle,test,normal,candle/Data/Images/Normal/0355.JPG,1168,1284,1.0993150684931507,120.04860533222379,92.76646449451628,63.533621788716765,97.64671750309392,87.2827674180477,87.2827674180477
candle,test,normal,candle/Data/Images/Normal/0986.JPG,1168,1284,1.0993150684931507,126.74380814449708,97.59636250160031,62.54078849805829,102.34441212712841,86.67940754936788,86.67940754936788
candle,test,normal,candle/Data/Images/Normal/0607.JPG,1168,1284,1.0993150684931507,119.58481895190543,91.78757921520932,62.39728961293902,96.79908475760679,85.90584959105713,85.90584959105713
candle,train,normal,candle/Data/Images/Normal/0956.JPG,1168,1284,1.0993150684931507,122.41434555434644,94.57234122284812,63.445985629240816,99.37484997119446,87.26975509549196,87.26975509549196
candle,train,normal,candle/Data/Images/Normal/0987.JPG,1168,1284,1.0993150684931507,123.9990551519225,96.46788049972261,65.84572037831263,101.23422763837324,86.99103322603902,86.99103322603902
candle,train,normal,candle/Data/Images/Normal/0798.JPG,1168,1284,1.0993150684931507,122.38840990803567,93.11386319506678,61.950571843127214,98.33550441684804,85.84873114548144,85.84873114548144
candle,train,normal,candle/Data/Images/Normal/0308.JPG,1168,1284,1.0993150684931507,117.2694724053685,90.70945088123587,62.6748155645884,95.43980177527419,86.47937752602297,86.47937752602297
candle,train,normal,candle/Data/Images/Normal/0975.JPG,1168,1284,1.0993150684931507,123.65722618742798,95.34840756091836,63.064534390602994,100.15565321875134,87.1019462691679,87.1019462691679
candle,test,normal,candle/Data/Images/Normal/0721.JPG,1168,1284,1.0993150684931507,117.3437266621858,89.38162660564161,60.53151471749243,94.48794901954508,84.37689720497283,84.37689720497283
candle,train,normal,candle/Data/Images/Normal/0487.JPG,1168,1284,1.0993150684931507,120.01750269385056,93.59291717343064,65.75069480006827,98.35568895894679,87.40200364306033,87.40200364306033
candle,train,normal,candle/Data/Images/Normal/0215.JPG,1168,1284,1.0993150684931507,115.4912696571075,90.74478233154099,65.56023556522852,95.25557373682413,86.93112671111929,86.93112671111929
candle,test,normal,candle/Data/Images/Normal/0136.JPG,1168,1284,1.0993150684931507,119.27720255622413,92.22026895830666,63.39214062433321,97.05434310054197,86.96056834581366,86.96056834581366
candle,train,normal,candle/Data/Images/Normal/0669.JPG,1168,1284,1.0993150684931507,124.65599595122264,93.13864195258823,57.054084384201765,98.45813529531003,85.94325474993825,85.94325474993825
